Date,Close
,WIPRO.NS
2020-06-11,103.04012298583984
2020-06-12,100.62019348144531
2020-06-15,103.4757080078125
2020-06-16,102.79813385009766
2020-06-17,105.4116439819336
2020-06-18,105.58103942871094
2020-06-19,107.46857452392578
2020-06-22,105.53263854980469
2020-06-23,106.76679992675781
2020-06-24,105.60523223876953
2020-06-25,105.60523223876953
2020-06-26,109.1141128540039
2020-06-29,106.33120727539062
2020-06-30,106.3070068359375
2020-07-01,106.0166244506836
2020-07-02,108.5091323852539
2020-07-03,108.79953002929688
2020-07-06,107.75895690917969
2020-07-07,108.8479232788086
2020-07-08,107.97676086425781
2020-07-09,107.25077819824219
2020-07-10,107.4927749633789
2020-07-13,110.15467834472656
2020-07-14,108.89632415771484
2020-07-15,127.16671752929688
2020-07-16,126.75531005859375
2020-07-17,126.48912811279297
2020-07-20,131.06277465820312
2020-07-21,131.32896423339844
2020-07-22,128.7396697998047
2020-07-23,129.03005981445312
2020-07-24,130.94178771972656
2020-07-27,130.11900329589844
2020-07-28,133.3133087158203
2020-07-29,134.06346130371094
2020-07-30,137.499755859375
2020-07-31,135.97520446777344
2020-08-03,136.26559448242188
2020-08-04,136.0236053466797
2020-08-05,134.64425659179688
2020-08-06,135.3460235595703
2020-08-07,134.25704956054688
2020-08-10,134.25704956054688
2020-08-11,135.3460235595703
2020-08-12,133.67630004882812
2020-08-13,134.06346130371094
2020-08-14,133.8214874267578
2020-08-17,136.45919799804688
2020-08-18,136.8221893310547
2020-08-19,135.39442443847656
2020-08-20,132.7083282470703
2020-08-21,132.2969207763672
2020-08-24,131.9823455810547
2020-08-25,130.65139770507812
2020-08-26,131.66773986816406
2020-08-27,131.81295776367188
2020-08-28,131.66773986816406
2020-08-31,131.3047637939453
2020-09-01,131.44996643066406
2020-09-02,132.46633911132812
2020-09-03,136.894775390625
2020-09-04,133.57948303222656
2020-09-07,134.91043090820312
2020-09-08,136.7495574951172
2020-09-09,136.894775390625
2020-09-10,137.71754455566406
2020-09-11,141.952392578125
2020-09-14,148.67979431152344
2020-09-15,148.75238037109375
2020-09-16,151.07550048828125
2020-09-17,150.8577117919922
2020-09-18,153.18081665039062
2020-09-21,150.95449829101562
2020-09-22,151.12388610839844
2020-09-23,152.3822479248047
2020-09-24,147.46983337402344
2020-09-25,151.92245483398438
2020-09-28,150.78509521484375
2020-09-29,150.76092529296875
2020-09-30,151.75306701660156
2020-10-01,151.51107788085938
2020-10-05,161.6263427734375
2020-10-06,159.73880004882812
2020-10-07,162.2797088623047
2020-10-08,173.96792602539062
2020-10-09,181.0098876953125
2020-10-12,182.70382690429688
2020-10-13,181.9536590576172
2020-10-14,169.61209106445312
2020-10-15,165.3288116455078
2020-10-16,164.3850555419922
2020-10-19,166.10317993164062
2020-10-20,167.8213348388672
2020-10-21,166.22418212890625
2020-10-22,166.7081756591797
2020-10-23,165.71600341796875
2020-10-26,164.45762634277344
2020-10-27,161.6747283935547
2020-10-28,162.44911193847656
2020-10-29,163.32028198242188
2020-10-30,164.8932342529297
2020-11-02,162.0377197265625
2020-11-03,162.44911193847656
2020-11-04,165.98220825195312
2020-11-05,167.16795349121094
2020-11-06,167.33734130859375
2020-11-09,170.33804321289062
2020-11-10,165.66758728027344
2020-11-11,167.8213348388672
2020-11-12,167.24053955078125
2020-11-13,166.56297302246094
2020-11-14,167.19215393066406
2020-11-17,168.76510620117188
2020-11-18,167.1195526123047
2020-11-19,165.81280517578125
2020-11-20,167.60354614257812
2020-11-23,172.22560119628906
2020-11-24,172.05618286132812
2020-11-25,169.39427185058594
2020-11-26,171.74159240722656
2020-11-27,169.6362762451172
2020-12-01,170.7736358642578
2020-12-02,173.70172119140625
